hw_name,model_name,model_size,precision,batch_size,mean_throughput,std_throughput,mean_time,std_time,power_mode,mean_usedMem,std_usedMem,mean_power,std_power,mean_cpu,std_cpu,mean_tempCPU,std_tempCPU,energy(mJ),throughput_per_energy(t_mJ),energy_per_batch
agx64g,alexnet,small,int8,1,883.3133679932116,31.01015607627379,0.0011340509133338445,5.885649628426829e-05,30W,3420.7916666666665,426.7603865316155,10520.5,3680.4687065644234,1.7293140780786533,0.4817713002762493,40.353833333333334,0.44606968812806225,11.930782633728711,74.03649828436703,11.930782633728711
agx64g,alexnet,small,int8,2,1507.8753467759548,82.206797235542,0.0013330184961556904,0.0001338643913350237,30W,3463.80859375,435.8694117274001,10001.666666666666,2391.0211765408235,5.7390038195667,6.484762233149865,40.431999999999995,0.4405215091229953,13.332406659050495,113.09851141934358,6.666203329525247
agx64g,alexnet,small,int8,4,2330.349183756816,61.73690726362141,0.0017180511342286561,6.019215273920801e-05,30W,3648.595703125,365.9482728581978,10771.666666666666,2695.4251365353607,8.23335603634011,7.14751565820841,40.58283333333333,0.3923740137504847,18.506274134199675,125.92211521660757,4.626568533549919
agx64g,alexnet,small,int8,8,3241.5117429475577,183.37906687355778,0.002480562465667675,0.00022630781553529384,30W,3725.6043526785716,363.90967295436707,11111.0,2640.7299495909588,7.284443482924688,6.659346972383432,40.74514285714286,0.18881510230154389,27.561529556033538,117.61000913818853,3.445191194504192
agx64g,alexnet,small,int8,16,3990.3124592233858,193.43258608583463,0.004022753023862791,0.00027221863098734084,30W,3793.80517578125,355.54529715963656,11354.25,2555.6937414330378,7.599254420351299,6.036968866199118,40.882375,0.3059976365454922,45.675343521194094,87.36250571102583,2.854708970074631
agx64g,alexnet,small,int8,32,4577.160798655194,193.9323003866799,0.007007326492786356,0.00038203764813162823,30W,3880.8831380208335,381.2252585336923,12135.666666666666,2504.1688635093487,6.032786934393603,4.803172542674243,41.02308333333334,0.30753195202312117,85.03857854095762,53.824521495860495,2.6574555794049255
agx64g,alexnet,small,int8,64,4927.302849490648,145.52553362394096,0.013002271383285474,0.000455556283083658,30W,4007.9439338235293,266.8250085966368,12817.235294117647,2176.7595333836184,5.849203644752426,4.366440052646283,41.17423529411764,0.18320157252728766,166.65317167754245,29.566211071124986,2.6039558074616007
agx64g,alexnet,small,int8,128,4534.524024185707,727.5751729085788,0.0291958454971313,0.006104397842833827,30W,4581.833295036765,202.07683487670946,13735.941176470587,1319.434978732034,12.851749396656484,11.768433361272578,41.79005882352941,0.2566314349502708,401.0324163459192,11.307125906436339,3.133065752702494
agx64g,alexnet,small,int8,256,4865.604628114543,396.3573197918615,0.0531230689888,0.0063166191530888835,30W,4548.170123922414,258.7144656069661,13723.172413793103,1358.460236946964,5.217133544088506,2.826498313111436,42.10312068965517,0.2566488540813444,729.0170348831281,6.6741988119585836,2.847722792512219
agx64g,densenet,large,int8,1,49.17567182819594,1.0404925298822905,0.02034682660865779,0.000552122231101483,30W,7890.562349759615,802.1674921407403,10370.846153846154,292.00050579513595,8.918851509675346,2.565337516299988,46.75199999999998,0.17725642442518477,211.01380847737323,0.23304480490180332,211.01380847737323
agx64g,densenet,large,int8,2,75.89891639062947,1.5024204224754605,0.026363831602096512,0.0006633202873206033,30W,8266.585327148438,304.4186277301991,11221.6875,794.701950114714,8.791340122457447,2.1941257071481037,46.445937499999985,0.2269051155254388,295.8466795413514,0.2565481434785576,147.9233397706757
agx64g,densenet,large,int8,4,100.75671911303522,1.5429460419046883,0.039711126750946,0.0007611034883207869,30W,8503.646314538044,253.7381463466272,12658.304347826086,1060.0085087617658,8.953650253818562,2.0423849547693305,46.32373913043476,0.14255251426639765,502.6755284085725,0.20044086775423964,125.66888210214313
agx64g,densenet,large,int8,8,120.2355936011692,1.1317701140042034,0.06654274291992184,0.00071563741580324,30W,8730.735659246575,202.05092824256283,14171.972602739726,1311.2484082460705,9.024499105481281,1.8695651619781686,46.45983561643832,0.21178887637997584,943.0419295722852,0.1274976115385472,117.88024119653565
agx64g,densenet,large,int8,16,135.1659926401224,0.8333801472515856,0.1183779381408691,0.0008081365706466484,30W,8955.092962449597,154.01030271968366,15186.782258064517,1189.868801679882,9.063980334372712,1.7870535792272513,46.807596774193506,0.25022929060301957,1797.7799707040097,0.07518494745894375,112.3612481690006
agx64g,densenet,large,int8,32,143.66843732845751,0.5287816682659175,0.2227382189941406,0.000855807831196533,30W,9013.371779057017,74.2481214320981,15967.63596491228,898.6596205408895,9.014728677204568,1.3975416312348206,47.421995614035104,0.3013282855350474,3556.602796371347,0.040394850241650945,111.14383738660459
agx64g,densenet,large,int8,64,149.0952770335233,0.3213664557199627,0.4292577668457031,0.0009523414258412635,30W,9220.495770474137,83.82339532495357,16424.94252873563,809.1991454877503,9.152716745339173,1.3278309524231668,48.15772873563232,0.33454272384885164,7050.534150454073,0.021146664047279478,110.16459610084489
agx64g,densenet,large,int8,128,150.92140945775603,0.22751024687340357,0.848125493347168,0.0012974168922909098,30W,9459.85003476288,47.656393598815704,16593.95901639344,576.1615186924646,9.252309451859869,1.0771784100914785,48.937861826698224,0.3229927929675388,14073.759677361373,0.010723602855072456,109.95124747938573
agx64g,densenet,large,int8,256,149.90292377876094,0.1501487703423638,1.7077736153564453,0.0017206859110972016,30W,9587.704695248687,28.867269460948993,16458.631271878647,473.84850008169394,9.408637674213312,0.8693437493431658,49.46919603267246,0.22749640225149134,28107.616230994845,0.005333178116095804,109.79537590232361
